trace,a,b,c,d,single_dim,total_dim,shell_0,shell_1,shell_2,shell_3,shell_4,shell_5,shell_6,shell_7,shell_8,shell_9,shell_10,seq_0,seq_1,seq_2,seq_3
3,2,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1
4,3,1,2,1,2,2,3,2,0,0,0,0,0,0,0,0,0,1,2
5,4,1,3,1,1,1,3,2,0,0,0,0,0,0,0,0,0,1,3
6,5,1,4,1,2,2,3,2,0,0,0,0,0,0,0,0,0,1,4
7,6,1,5,1,1,1,3,2,0,0,0,0,0,0,0,0,0,1,5
8,7,1,6,1,2,2,3,2,0,0,0,0,0,0,0,0,0,1,6
9,8,1,7,1,1,1,3,2,0,0,0,0,0,0,0,0,0,1,7
10,9,1,8,1,2,2,3,2,0,0,0,0,0,0,0,0,0,1,8
11,10,1,9,1,1,1,3,2,0,0,0,0,0,0,0,0,0,1,9
12,11,1,10,1,2,2,3,2,0,0,0,0,0,0,0,0,0,1,10
6,5,2,2,1,4,4,3,3,1,0,0,0,0,0,0,0,0,2,2
8,7,2,3,1,2,2,3,3,3,1,0,0,0,0,0,0,0,2,3
10,9,2,4,1,4,4,3,3,3,1,0,0,0,0,0,0,0,2,4
12,11,2,5,1,2,2,3,3,3,1,0,0,0,0,0,0,0,2,5
14,13,2,6,1,4,4,3,3,3,1,0,0,0,0,0,0,0,2,6
16,15,2,7,1,2,2,3,3,3,1,0,0,0,0,0,0,0,2,7
18,17,2,8,1,4,4,3,3,3,1,0,0,0,0,0,0,0,2,8
20,19,2,9,1,2,2,3,3,3,1,0,0,0,0,0,0,0,2,9
22,21,2,10,1,4,4,3,3,3,1,0,0,0,0,0,0,0,2,10
11,10,3,3,1,1,1,3,3,3,3,2,0,0,0,0,0,0,3,3
14,13,3,4,1,2,2,3,3,3,3,3,1,0,0,0,0,0,3,4
17,16,3,5,1,1,1,3,3,3,3,3,1,0,0,0,0,0,3,5
20,19,3,6,1,2,2,3,3,3,3,3,1,0,0,0,0,0,3,6
23,22,3,7,1,1,1,3,3,3,3,3,1,0,0,0,0,0,3,7
26,25,3,8,1,2,2,3,3,3,3,3,1,0,0,0,0,0,3,8
29,28,3,9,1,1,1,3,3,3,3,3,1,0,0,0,0,0,3,9
32,31,3,10,1,2,2,3,3,3,3,3,1,0,0,0,0,0,3,10
18,17,4,4,1,4,4,3,3,3,3,3,3,1,0,0,0,0,4,4
22,21,4,5,1,2,2,3,3,3,3,3,3,3,1,0,0,0,4,5
26,25,4,6,1,4,4,3,3,3,3,3,3,3,1,0,0,0,4,6
30,29,4,7,1,2,2,3,3,3,3,3,3,3,1,0,0,0,4,7
34,33,4,8,1,4,4,3,3,3,3,3,3,3,1,0,0,0,4,8
38,37,4,9,1,2,2,3,3,3,3,3,3,3,1,0,0,0,4,9
42,41,4,10,1,4,4,3,3,3,3,3,3,3,1,0,0,0,4,10
27,26,5,5,1,1,1,3,3,3,3,3,3,3,2,1,0,0,5,5
32,31,5,6,1,2,2,3,3,3,3,3,3,3,3,3,1,0,5,6
37,36,5,7,1,1,1,3,3,3,3,3,3,3,3,3,1,0,5,7
42,41,5,8,1,2,2,3,3,3,3,3,3,3,3,3,1,0,5,8
47,46,5,9,1,1,1,3,3,3,3,3,3,3,3,3,1,0,5,9
52,51,5,10,1,2,2,3,3,3,3,3,3,3,3,3,1,0,5,10
38,37,6,6,1,4,5,3,3,3,3,3,3,3,3,3,2,1,6,6
44,43,6,7,1,2,5,3,3,3,3,3,3,3,3,3,3,3,6,7
50,49,6,8,1,4,7,3,3,3,3,3,3,3,3,3,3,3,6,8
56,55,6,9,1,2,5,3,3,3,3,3,3,3,3,3,3,3,6,9
62,61,6,10,1,4,7,3,3,3,3,3,3,3,3,3,3,3,6,10
51,50,7,7,1,1,4,3,3,3,3,3,3,3,3,3,3,3,7,7
58,57,7,8,1,2,5,3,3,3,3,3,3,3,3,3,3,3,7,8
65,64,7,9,1,1,4,3,3,3,3,3,3,3,3,3,3,3,7,9
72,71,7,10,1,2,5,3,3,3,3,3,3,3,3,3,3,3,7,10
66,65,8,8,1,4,7,3,3,3,3,3,3,3,3,3,3,3,8,8
74,73,8,9,1,2,5,3,3,3,3,3,3,3,3,3,3,3,8,9
82,81,8,10,1,4,7,3,3,3,3,3,3,3,3,3,3,3,8,10
83,82,9,9,1,1,4,3,3,3,3,3,3,3,3,3,3,3,9,9
92,91,9,10,1,2,5,3,3,3,3,3,3,3,3,3,3,3,9,10
102,101,10,10,1,4,7,3,3,3,3,3,3,3,3,3,3,3,10,10
