trace,a,b,c,d,single_dim,total_dim,shell_0,shell_1,shell_2,shell_3,shell_4,shell_5,shell_6,shell_7,shell_8,shell_9,shell_10,seq_0,seq_1,seq_2,seq_3,seq_4,seq_5
3,2,1,1,1,1,3,5,9,6,2,2,2,2,2,2,2,2,1,1
4,3,1,2,1,2,6,5,12,16,8,4,4,4,4,4,4,4,1,2
5,4,1,3,1,1,8,5,12,20,21,8,7,7,7,7,7,7,1,3
6,5,1,4,1,2,12,5,12,20,26,22,10,10,10,10,10,10,1,4
7,6,1,5,1,1,13,5,12,20,27,30,20,13,12,12,12,12,1,5
8,7,1,6,1,2,16,5,12,20,27,31,30,19,14,14,14,14,1,6
9,8,1,7,1,1,15,5,12,20,27,31,32,29,17,14,14,14,1,7
10,9,1,8,1,2,16,5,12,20,27,31,32,32,27,17,14,14,1,8
11,10,1,9,1,1,15,5,12,20,27,31,32,32,32,26,17,14,1,9
12,11,1,10,1,2,19,5,12,20,27,31,32,32,32,32,25,17,1,10
6,5,2,2,1,4,8,5,13,21,20,7,4,4,4,4,4,4,2,2
